"Model","AICc","AIC","BIC","RMSE_preCOVID","MAE_preCOVID","Country"
"ARIMA(0,1,1)",76.57,76.03,78.38,0.863,0.642,"United States"
"ARIMA(0,1,2)",77.93,76.79,80.33,0.912,0.663,"United States"
"ARIMA(2,1,0)",78.34,77.2,80.73,0.869,0.684,"United States"
"ARIMA(1,1,1)",78.59,77.45,80.98,0.882,0.65,"United States"
"ARIMA(0,0,1)",78.62,77.47,81.13,1.264,1.042,"United States"
"ARIMA(0,1,0)",78.97,78.8,79.98,0.817,0.676,"United States"
"ARIMA(0,0,0)",79.13,78.58,81.02,1.348,1.074,"United States"
"ARIMA(1,0,0)",79.46,78.32,81.97,1.215,1,"United States"
"ARIMA(1,1,0)",79.77,79.22,81.58,0.813,0.681,"United States"
"ARIMA(1,1,2)",79.98,77.98,82.69,0.976,0.683,"United States"
"ARIMA(0,1,2)",66.59,65.45,68.98,0.553,0.449,"Germany"
"ARIMA(2,1,0)",66.76,65.62,69.15,0.625,0.545,"Germany"
"ARIMA(0,1,0)",66.89,66.72,67.89,0.741,0.635,"Germany"
"ARIMA(0,0,1)",68.16,67.02,70.67,0.829,0.631,"Germany"
"ARIMA(0,1,1)",68.71,68.17,70.52,0.875,0.72,"Germany"
"ARIMA(1,1,0)",69.14,68.59,70.95,0.782,0.649,"Germany"
"ARIMA(1,1,2)",69.19,67.19,71.9,0.499,0.402,"Germany"
"ARIMA(1,0,1)",69.5,67.5,72.38,0.624,0.456,"Germany"
"ARIMA(2,1,1)",69.6,67.6,72.31,0.619,0.532,"Germany"
"ARIMA(1,1,1)",69.73,68.59,72.12,0.509,0.447,"Germany"
"ARIMA(0,1,0)",71.25,71.08,72.26,2.266,2.234,"Japan"
"ARIMA(0,1,1)",73.06,72.51,74.87,1.83,1.79,"Japan"
"ARIMA(1,1,0)",73.08,72.53,74.89,1.917,1.877,"Japan"
"ARIMA(1,1,1)",75.47,74.33,77.86,2.069,2.023,"Japan"
"ARIMA(0,1,2)",75.65,74.51,78.04,1.779,1.74,"Japan"
"ARIMA(2,1,0)",75.66,74.51,78.05,1.84,1.802,"Japan"
"ARIMA(1,0,0)",76.66,75.51,79.17,1.223,1.094,"Japan"
"ARIMA(1,1,2)",78.24,76.24,80.95,1.905,1.858,"Japan"
"ARIMA(2,1,1)",78.44,76.44,81.15,1.604,1.553,"Japan"
"ARIMA(1,0,1)",79.51,77.51,82.39,1.225,1.097,"Japan"
"ARIMA(0,1,0)",72.72,72.54,73.72,1.029,0.958,"United Kingdom"
"ARIMA(0,1,1)",75.02,74.47,76.83,1.035,0.971,"United Kingdom"
"ARIMA(1,1,0)",75.02,74.47,76.83,1.036,0.971,"United Kingdom"
"ARIMA(0,1,2)",77.58,76.44,79.97,1.011,0.945,"United Kingdom"
"ARIMA(2,1,0)",77.6,76.46,79.99,1.021,0.955,"United Kingdom"
"ARIMA(2,1,1)",79.58,77.58,82.29,1.025,0.971,"United Kingdom"
"ARIMA(1,0,0)",80.8,79.66,83.32,1.007,0.865,"United Kingdom"
"ARIMA(2,1,2)",82.52,79.36,85.25,1.04,0.979,"United Kingdom"
"ARIMA(2,0,0)",82.76,80.76,85.63,0.94,0.808,"United Kingdom"
"ARIMA(1,0,1)",82.86,80.86,85.74,0.944,0.814,"United Kingdom"
"ARIMA(0,1,1)",138.24,137.7,140.05,0.808,0.624,"China"
"ARIMA(1,1,2)",139.72,137.72,142.43,1.392,1.306,"China"
"ARIMA(0,1,2)",140.13,138.98,142.52,0.51,0.39,"China"
"ARIMA(2,1,0)",140.28,139.14,142.67,0.485,0.377,"China"
"ARIMA(0,1,0)",140.41,140.24,141.41,0.513,0.395,"China"
"ARIMA(1,1,1)",140.43,139.29,142.82,0.606,0.444,"China"
"ARIMA(1,1,0)",140.67,140.12,142.48,0.581,0.456,"China"
"ARIMA(2,1,1)",140.99,138.99,143.7,1.372,1.3,"China"
"ARIMA(2,1,2)",142.77,139.61,145.5,1.487,1.381,"China"
"ARIMA(1,0,1)",143.24,141.24,146.12,1.567,1.484,"China"
"ARIMA(0,1,1)",120.08,119.54,121.89,3.382,3.325,"India"
"ARIMA(1,1,0)",121.07,120.52,122.88,2.781,2.72,"India"
"ARIMA(2,1,0)",122.24,121.09,124.63,3.379,3.341,"India"
"ARIMA(0,1,2)",122.37,121.23,124.76,3.264,3.22,"India"
"ARIMA(1,1,1)",122.54,121.4,124.93,3.349,3.298,"India"
"ARIMA(0,1,0)",123.35,123.18,124.35,1.708,1.592,"India"
"ARIMA(2,1,1)",125.04,123.04,127.76,3.421,3.383,"India"
"ARIMA(2,1,2)",125.32,122.16,128.06,2.622,2.586,"India"
"ARIMA(1,1,2)",125.42,123.42,128.13,3.329,3.271,"India"
"ARIMA(1,0,0)",126,124.86,128.51,3.36,3.251,"India"
