"Country","N","Mean","Median","SD","Min","Max","Skewness","CV"
"United States",34,2.69,2.63,1.51,-0.32,7.99,1.197,56
"United Kingdom",34,2.75,2.33,2.09,0.04,9.07,1.674,75.9
"Germany",34,2.15,1.75,1.74,0.25,8.67,2.063,81.1
"France",34,1.83,1.8,1.3,0.09,5.9,1.551,71
"Japan",34,0.58,0.2,1.23,-1.33,3.27,0.927,212.7
"China",34,3.76,2.29,5.27,-1.4,24.28,2.55,140.1
"India",34,7.06,6.41,2.92,3.41,13.48,0.54,41.3
"Brazil",34,252.5,6.74,688.53,3.2,2947.73,2.985,272.7
"Russia",31,57.84,11.65,164.09,2.88,874.26,4.514,283.7
"Türkiye",34,37.06,17.96,31.87,6.25,104.54,0.561,86
"Argentina",26,22.73,10.76,29.09,-1.17,133.49,2.564,128
"Mexico",34,9.36,5.21,8.86,2.72,35.06,1.825,94.6
"South Africa",34,6.82,5.9,3.13,1.39,15.08,1.204,45.9
"Nigeria",28,13.2,12.39,5.43,5.4,29.29,1.152,41.1
"Egypt",34,10.31,9.2,6.13,2.26,24.39,0.884,59.5
