"Country","Model","AIC","BIC","omega","alpha1","beta1","Persistence"
"United States","GARCH(1,1)-N",3.697,3.878,1.156908,0.5937,0,0.5937
"United States","GARCH(1,1)-t",3.594,3.821,0.880343,1,0,1
"United States","GARCH(1,2)-t",3.655,3.928,0.890159,1,0,1
"Germany","GARCH(1,1)-N",3.427,3.606,0.338348,1,0,1
"Germany","GARCH(1,1)-t",3.395,3.619,0.40799,1,0,1
"Germany","GARCH(1,2)-t",3.434,3.703,0.404211,1,0,1
"Japan","GARCH(1,1)-N",3.319,3.499,0.793616,0.5371,0,0.5371
"Japan","GARCH(1,1)-t",3.362,3.586,0.878494,1,0,1
"Japan","GARCH(1,2)-t",3.48,3.749,0.947535,1,0,1
"United Kingdom","GARCH(1,1)-N",4.352,4.531,2.520483,0.3786,0.0591,0.4377
"United Kingdom","GARCH(1,1)-t",3.928,4.153,1.561988,1,0,1
"United Kingdom","GARCH(1,2)-t",4.061,4.331,1.735841,1,0,1
"China","GARCH(1,1)-N",5.036,5.215,1.164045,1,0.0709,1.0709
"China","GARCH(1,1)-t",5.079,5.304,1.008721,1,0.1258,1.1258
"China","GARCH(1,2)-t",5.113,5.382,0.812215,1,0,1
"India","GARCH(1,1)-N",5.139,5.318,9e-06,0.0498,0.9189,0.9688
"India","GARCH(1,1)-t",5.253,5.477,9e-06,0.114,0.8614,0.9755
"India","GARCH(1,2)-t",5.297,5.566,9e-06,0.2153,0,0.2153
